Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/87293755/clean-title-2016-land-rover-discovery-sport-hse-al-birmingham,87293755,"8,275 USD",11/11/2025 12:00 pm CST,2016,LAND,DISCOVERY,2.0L  4,4,SALCR2BG2GH******,CERTIFICATE OF TITLE,"138,367 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/71027955/clean-title-2015-land-rover-range-rover-sport-sc-al-birmingham,71027955,"17,600 USD",11/11/2025 12:00 pm CST,2015,LAND,RANGE ROVE,5.0L  8,8,SALWR2TF1FA******,CERTIFICATE OF TITLE,"105,919 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/81640045/clean-title-2015-land-rover-discovery-sport-hse-al-birmingham,81640045,"9,020 USD",,2015,LAND,DISCOVERY,2.0L  4,4,SALCR2BGXFH******,CERTIFICATE OF TITLE,"97,427 ",,FRONT END,0 USD,0 USD,0,AL - BIRMINGHAM,0,N/A,N/A
